,Samuel L. Jackson,Morgan Freeman,Bruce Willis,Robert De Niro,Matt Damon,Owen Wilson,Johnny Depp,Liam Neeson,Brad Pitt,Nicolas Cage,Stanley Tucci,Frank Welker,George Clooney,Cate Blanchett,Editor,Producer,crew_num,cast_num,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Zemeckis,Martin Scorsese,Tim Burton,Michael Bay,Renny Harlin,Robert Rodriguez,Steven Soderbergh,budget,Drama,Action,Comedy,Thriller,Adventure,genres_num,duringcreditsstinger,based on novel,aftercreditsstinger,dystopia,3d,violence,woman director,murder,original_en,Warner Bros.,Universal Pictures,Paramount Pictures,Twentieth Century Fox Film Corporation,Columbia Pictures,New Line Cinema,Relativity Media,Walt Disney Pictures,com_num,United States of America,United Kingdom,Germany,France,Canada,Australia,runtime,English,Français,month
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,23,0,0,0,0,0,0,0,0,0,0,175,0,1,0,1,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,118.0,1,1,8
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,65,0,0,0,0,0,0,0,0,0,0,175,1,0,1,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,94.0,1,0,6
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,30,0,0,0,0,0,0,0,0,0,0,175,1,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,106.0,1,0,4
79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,33,115,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,124.0,1,1,4
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,56,36,0,0,0,0,0,0,0,0,0,0,170,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,127.0,1,0,5
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,82,0,0,0,0,0,0,0,0,0,0,180,0,1,0,0,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,97.0,1,0,5
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,148,33,0,0,0,0,0,0,0,0,0,0,170,1,1,0,1,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,130.0,1,0,6
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,24,0,0,0,0,0,0,0,0,0,0,175,1,1,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,119.0,1,0,12
84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,41,70,0,0,0,0,0,0,0,0,0,0,170,0,1,0,0,1,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,136.0,1,0,3
85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,165,0,0,1,0,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,93.0,1,0,5
86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,93,52,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,130.0,1,0,5
